km,reward
782.0,52840
1007.0,146521
1232.0,145396
1548.0,143816
1864.0,230825
2180.0,229245
3237.0,261922
3828.0,258967
4315.0,333438
5169.0,380999
6023.0,428560
7101.0,459697
8158.0,492374
8696.0,563105
9767.0,594755
10355.0,661820
10893.0,732551
11431.0,803282
12019.0,870347
13194.0,894372
14400.0,916124
15211.0,966838
15407.0,965858
16189.0,1018698
17043.0,1066259
17581.0,1136990
17897.0,1135410
18122.0,1229091
18993.0,1275406
19577.0,1342764
20064.0,1417235
20453.0,1415290
20602.0,1414545
21143.0,1485056
22014.0,1531371
22602.0,1528431
22918.0,1526851
23896.0,1565320
24707.0,1616034
24856.0,1615289
25005.0,1714543
25816.0,1765257
26478.0,1826896
26627.0,1926150
27148.0,1998128
28351.0,2020100
29013.0,2081739
29162.0,2180993
29311.0,2280247
29627.0,2278667
30605.0,2317136
31385.0,2370123
32456.0,2401773
33366.0,2445228
34237.0,2491543
34821.0,2558901
35603.0,2611741
35919.0,2698750
36235.0,2697170
36551.0,2695590
37092.0,2766101
37317.0,2764976
37633.0,2763396
37949.0,2761816
38595.0,2824628
39183.0,2821688
39845.0,2883327
40041.0,2882347
40528.0,2956818
40917.0,2954873
41066.0,2954128
42123.0,2986805
42714.0,2983850
43305.0,3050695
44362.0,3083372
44511.0,3182626
45322.0,3233340
45518.0,3329147
46005.0,3403618
46394.0,3401673
46783.0,3483329
47172.0,3481384
47321.0,3480639
47859.0,3551370
48346.0,3625841
48961.0,3690926
49110.0,3690181
49698.0,3757246
50286.0,3754306
50435.0,3853560
50584.0,3852815
50900.0,3939824
51878.0,3978293
52689.0,4029007
53078.0,4110663
53988.0,4154118
54995.0,4190461
55586.0,4257306
56761.0,4281331
57498.0,4337471
57887.0,4419127
58276.0,4417182
58665.0,4498838
59519.0,4546399
59744.0,4640080
59969.0,4638955
60615.0,4701767
61199.0,4769125
61783.0,4836483
62371.0,4833543
62912.0,4904054
64115.0,4926026
64895.0,4979013
65966.0,5010663
66649.0,5070762
67311.0,5132401
67627.0,5130821
68605.0,5169290
69392.0,5221764
70567.0,5245789
71155.0,5242849
71471.0,5241269
72449.0,5279738
72645.0,5375545
73111.0,5373215
74168.0,5405892
75246.0,5437029
75635.0,5435084
76024.0,5516740
76878.0,5564301
77856.0,5602770
78643.0,5655244
79700.0,5687921
80016.0,5686341
80332.0,5684761
80481.0,5784015
80630.0,5783270
81687.0,5815947
82278.0,5812992
82893.0,5878077
83704.0,5928791
84491.0,5981265
85697.0,6003017
86086.0,6084673
87164.0,6115810
87755.0,6182655
88221.0,6180325
89278.0,6213002
89869.0,6210047
90335.0,6207717
90651.0,6206137
90876.0,6299818
91101.0,6298693
91417.0,6297113
92474.0,6329790
93531.0,6362467
93847.0,6360887
94629.0,6413727
95116.0,6488198
95505.0,6486253
96711.0,6508005
97302.0,6505050
97917.0,6570135
98066.0,6569390
98607.0,6639901
99478.0,6686216
100124.0,6749028
100440.0,6747448
100756.0,6745868
101072.0,6744288
101388.0,6742708
102366.0,6781177
103569.0,6803149
103794.0,6802024
104576.0,6854864
105063.0,6929335
105917.0,6976896
106233.0,6975316
106549.0,6973736
107403.0,7021297
108086.0,7081396
109289.0,7103368
109830.0,7173879
110146.0,7172299
110928.0,7225139
111394.0,7222809
111710.0,7221229
112688.0,7259698
113475.0,7312172
114681.0,7333924
115146.0,7410008
115928.0,7462848
116512.0,7530206
117292.0,7583193
117488.0,7679000
118495.0,7715343
119698.0,7737315
120360.0,7798954
120901.0,7869465
121126.0,7868340
121980.0,7915901
123051.0,7947551
123922.0,7993866
124793.0,8040181
125864.0,8071831
126253.0,8069886
126868.0,8134971
127334.0,8132641
127875.0,8203152
129078.0,8225124
129740.0,8286763
130056.0,8285183
130372.0,8283603
130688.0,8282023
131470.0,8334863
131936.0,8332533
132252.0,8419542
133230.0,8458011
133913.0,8518110
134302.0,8516165
135508.0,8537917
136099.0,8534962
137106.0,8571305
137331.0,8570180
137647.0,8568600
137963.0,8567020
138941.0,8605489
139919.0,8643958
140565.0,8706770
141153.0,8703830
142210.0,8736507
143267.0,8769184
143416.0,8868438
143565.0,8867693
144031.0,8943703
144497.0,8941373
145035.0,9012104
145424.0,9010159
145573.0,9009414
146114.0,9079925
147121.0,9116268
147587.0,9113938
147903.0,9200947
148128.0,9294628
149331.0,9316600
150014.0,9376699
150403.0,9374754
151609.0,9396506
152200.0,9393551
152666.0,9391221
153723.0,9423898
154929.0,9445650
155078.0,9444905
155619.0,9515416
156490.0,9561731
157078.0,9558791
157666.0,9625856
158254.0,9622916
158403.0,9722170
159214.0,9772884
159410.0,9771904
159876.0,9769574
160933.0,9802251
161524.0,9799296
161720.0,9895103
161916.0,9894123
162923.0,9930466
163148.0,9929341
163373.0,10023022
163894.0,10095000
165100.0,10116752
166157.0,10149429
166473.0,10147849
167451.0,10186318
167647.0,10282125
168231.0,10349483
168815.0,10416841
169822.0,10453184
170363.0,10523695
170951.0,10590760
171597.0,10653572
172451.0,10701133
172840.0,10699188
173455.0,10764273
173651.0,10860080
174854.0,10882052
175861.0,10918395
176327.0,10916065
176643.0,10914485
177108.0,10990569
177919.0,11041283
178706.0,11093757
179763.0,11126434
180351.0,11193499
180939.0,11190559
181255.0,11188979
182233.0,11227448
183020.0,11279922
183807.0,11332396
184594.0,11384870
185185.0,11381915
185651.0,11379585
186189.0,11450316
186578.0,11448371
187315.0,11504511
188490.0,11528536
189568.0,11559673
190478.0,11603128
190703.0,11602003
191485.0,11654843
192492.0,11691186
193363.0,11737501
193947.0,11804859
194729.0,11857699
195045.0,11856119
195361.0,11943128
195677.0,12030137
196339.0,12091776
196535.0,12187583
197001.0,12185253
197539.0,12255984
197928.0,12254039
199134.0,12275791
199725.0,12342636
200191.0,12340306
200507.0,12338726
200732.0,12432407
201739.0,12468750
202521.0,12521590
202986.0,12597674
203797.0,12648388
204577.0,12701375
205223.0,12764187
205448.0,12857868
205673.0,12856743
205989.0,12855163
206527.0,12925894
207381.0,12973455
207606.0,13067136
207831.0,13066011
208056.0,13159692
208281.0,13158567
208597.0,13156987
209135.0,13227718
209989.0,13275279
210305.0,13362288
210621.0,13449297
210846.0,13542978
211071.0,13541853
211296.0,13635534
211837.0,13706045
212153.0,13704465
212618.0,13780549
213139.0,13852527
214342.0,13874499
215129.0,13926973
216335.0,13948725
216724.0,14030381
217262.0,14101112
217578.0,14188121
217894.0,14186541
218432.0,14257272
219286.0,14304833
219511.0,14398514
220382.0,14444829
221028.0,14507641
222006.0,14546110
222668.0,14607749
223209.0,14678260
224412.0,14700232
225223.0,14750946
226429.0,14772698
227635.0,14794450
228446.0,14845164
229257.0,14895878
229994.0,14952018
230582.0,15019083
230898.0,15106092
231214.0,15104512
231530.0,15191521
231846.0,15189941
232162.0,15276950
232478.0,15275370
232627.0,15374624
232776.0,15373879
233833.0,15406556
234911.0,15437693
235821.0,15481148
236046.0,15480023
236362.0,15478443
236678.0,15565452
237532.0,15613013
238442.0,15656468
238667.0,15655343
238983.0,15653763
239521.0,15724494
239910.0,15722549
241116.0,15744301
242194.0,15775438
243048.0,15822999
244026.0,15861468
244813.0,15913942
245404.0,15910987
245600.0,16006794
246387.0,16059268
247465.0,16090405
248148.0,16150504
248344.0,16246311
248810.0,16243981
249867.0,16276658
250458.0,16273703
251240.0,16326543
252022.0,16379383
252488.0,16377053
253545.0,16409730
254136.0,16406775
254720.0,16474133
255791.0,16505783
256474.0,16565882
257136.0,16627521
257452.0,16625941
258430.0,16664410
259408.0,16702879
259724.0,16701299
260040.0,16699719
260505.0,16775803
260654.0,16775058
261120.0,16851068
261586.0,16848738
261902.0,16847158
262684.0,16899998
263691.0,16936341
264698.0,16972684
265164.0,16970354
265480.0,16968774
265796.0,16967194
266334.0,17037925
266723.0,17035980
266872.0,17035235
267188.0,17033655
267504.0,17032075
267970.0,17108085
268436.0,17105755
268977.0,17176266
269202.0,17175141
270180.0,17213610
270376.0,17212630
270572.0,17308437
271352.0,17361424
272223.0,17407739
272744.0,17479717
273555.0,17530431
274335.0,17583418
274923.0,17580478
275464.0,17650989
276335.0,17697304
277115.0,17750291
277926.0,17801005
278447.0,17872983
279454.0,17909326
280038.0,17976684
280684.0,18039496
281330.0,18102308
281918.0,18099368
282234.0,18097788
283212.0,18136257
283895.0,18196356
284284.0,18194411
284433.0,18193666
284971.0,18264397
285360.0,18262452
285509.0,18261707
286097.0,18328772
286743.0,18391584
287059.0,18390004
287600.0,18460515
287825.0,18459390
288607.0,18512230
289094.0,18586701
289632.0,18657432
289781.0,1875668